,store,county,lon,lat,# of stores within 5 mile radius,Nearest other store (mi)
1164358,010195,CRAWFORD,-1.664398141895003,0.7332613740669545,8,0.15179490060236114
1169318,010139,POTTAWATTAMIE,-1.672703641306026,0.7202396118125524,55,0.07692114259517092
1169358,010140,POTTAWATTAMIE,-1.6729350895752126,0.7200033644464281,55,0.47415679027391694
1169788,010216,HENRY,-1.5990651801164606,0.713034840474975,2,2.9196622081690777
1215889,4679,LINN,-1.5993750773575994,0.7336692297798637,89,0.10336673501282315
1222640,010223,WOODBURY,-1.6768554657339612,0.7414696399112582,1,0.3809660504149119
1223546,010219,POTTAWATTAMIE,-1.6733354332164883,0.7200706988999043,55,0.0357794703965071
1268935,4975,WOODBURY,-1.6827788502988312,0.7419610896871284,39,0.07632639696265717
1272879,010116,WINNEBAGO,-1.6324765774177734,0.7578148579876816,2,0.04964804384281954
1282571,010229,O'BRIEN,-1.6723066477718895,0.7537293732628154,7,0.04395326040381296
1297473,6111,GUTHRIE,-1.6496628688055213,0.7244026238882593,0,6.487739455275879
1349911,010227,POLK,-1.636646726354231,0.727088231350234,98,0.05083051964072526
1370070,010231,SIOUX,-1.6839918551587114,0.7504313992653266,5,0.0368242464592141
1416593,010118,CEDAR,-1.5904992095830126,0.7289366751605817,3,0.4687934834789384
1416696,6321,IOWA,-1.6061718356931953,0.7275871687107681,5,0.9302271822664944
1436912,010224,CRAWFORD,-1.6643092871653307,0.7332612343533478,8,0.11628919669354734
1446666,010234,POLK,-1.6359722538306278,0.7263835875991043,130,0.30515773475931235
1457552,010189,MARION,-1.6250243001012128,0.7212737544580237,11,0.10634603548644371
1457756,010233,WEBSTER,-1.642817076352162,0.7407877920800218,18,1.9465226743934223
1476269,010232,LINN,-1.5975057109066981,0.736509763190581,3,0.056501600140223006
1568895,010220,TAMA,-1.6157768994112716,0.7323673460524075,7,0.632694788115132
1580327,010240,DICKINSON,-1.660284436732022,0.7577629514593951,16,0.024644575774677126
1611280,010241,SCOTT,-1.5770793719695906,0.7258512119641235,6,1.0203655725046796
