,Store Number,Store Location,lon,lat,# of stores within 5 mile radius,Nearest other store (mi)
303,4788,POINT (-91.71601 41.97501),-1.6007463512920443,0.732602128057545,94,0.05389611636736513
305,4950,POINT (-91.65129 41.97759),-1.599616774200154,0.7326471575522465,116,0.4524104800733855
307,6236,POINT (-91.71559 41.96359),-1.6007390209091863,0.7324028114569673,78,0.010811669236655162
308,4970,POINT (-91.26158 41.56997),-1.5928150515722066,0.7255328464552672,2,0.5970394126772787
310,5736,POINT (-92.73701 43.12253),-1.6185661629549066,0.7526301302900303,3,4.608149068538703
311,3773,POINT (-91.65989 41.97575),-1.5997668725158254,0.7326150434940097,109,0.20237159753753337
312,4492,POINT (-91.71598 41.94232),-1.600745827693269,0.7320315799250681,64,0.11472041304262758
313,4129,POINT (-93.61905 42.02291),-1.6339606650891974,0.7334381407692504,43,0.001539930638886651
314,3696,POINT (-93.63541 41.53804),-1.6342462009548235,0.7249755628251054,69,0.4325521196188947
315,6316,POINT (-94.8615 42.06419),-1.655645508380601,0.7341586126844736,10,0.055990925841959215
316,3666,POINT (-91.71602 41.94398),-1.6007465258249698,0.7320605523906513,64,0.11472041304262758
318,5957,POINT (-90.66825 42.51147),-1.5824594895213486,0.7419651213627938,51,0.07839340325517123
319,3890,POINT (-91.68373 41.97282),-1.6001829590095007,0.7325639053469263,100,0.058003699113563664
320,2616,POINT (-90.19322 41.83653),-1.5741686519756,0.7301851961093834,19,0.08015319869986848
322,6024,POINT (-92.78736 42.36159),-1.619444936233286,0.7393492218799047,2,0.26907687968016825
323,3920,POINT (-90.20395 41.82836),-1.5743559258043391,0.7300426027094954,19,0.28806786271539697
324,2552,POINT (-91.65857 41.95587),-1.599743834169699,0.7322680720387132,86,0.03019686515992127
325,5663,POINT (-95.05154 42.30774),-1.658962332091091,0.7384093620777058,2,0.1742728226604252
327,4539,POINT (-94.55159 42.02249),-1.6502365584957455,0.7334308103863919,0,8.932460963313796
330,5397,POINT (-91.87468 41.80125),-1.603515665216184,0.7295694439492797,0,5.713315903357129
331,4467,POINT (-91.03061 41.44193),-1.5887838645988752,0.7232981268810137,21,0.044940303427118966
335,5886,POINT (-90.69684 42.50069),-1.5829584791544937,0.7417769748694288,51,0.0781400779614625
336,2628,POINT (-93.10374 42.3606),-1.6249668089207454,0.7393319431203099,3,0.11947457003820552
337,10096,POINT (-90.60069 41.55798),-1.5812803450787014,0.7253235814779531,74,0.10376593333695235
339,4001,POINT (-94.8935008 42.081312),-1.656204027703873,0.734457447959,10,0.8716195539117123
340,3417,POINT (-92.073 41.7907),-1.6069770021887388,0.7293853117131943,3,0.0822131095403768
341,2635,POINT (-90.51377 41.57494),-1.5797633048928676,0.7256195893190913,51,0.031270736810905926
342,5070,POINT (-91.01657 41.58874),-1.5885388203718953,0.7258604447558665,3,0.0
344,6242,POINT (-93.80947 41.56373),-1.637284121050845,0.7254239379099428,70,0.013583642872259967
345,5857,POINT (-90.66344 42.51576),-1.5823755391843277,0.7420399959877043,51,0.2520114947787659
347,4250,POINT (-93.10073 42.36105),-1.6249142745102603,0.7393397971019439,3,0.1567965489285275
348,5407,POINT (-92.00744 41.66066),-1.6058327643311316,0.7271156855539008,3,0.1517377185152585
350,2465,POINT (-90.70691 42.49199),-1.5831342338101695,0.7416251312245054,50,0.4355272784686151
353,4604,POINT (-93.03601 41.69919),-1.6237846974183696,0.7277881609146943,13,0.04932099457080734
355,4172,POINT (-93.37642 42.52046),-1.6297259727250835,0.7421220264625481,2,0.47471145905627216
357,4998,POINT (-94.72511 42.26741),-1.6532650538138058,0.7377054707903764,1,0.9654106028346675
358,4025,POINT (-92.27776 41.89706),-1.6105507383651227,0.7312416439056155,4,0.027267978040704865
360,6119,POINT (-93.78898 41.58439),-1.6369265030871112,0.7257845229334048,107,0.05118537047827769
361,4553,POINT (-93.20291 42.8932),-1.6266976519399483,0.7486275667164317,0,6.403004309619068
362,6178,POINT (-90.66596 42.04989),-1.582419521481478,0.7339090306014383,7,0.1766507522692961
363,4269,POINT (-91.12841 41.77177),-1.5904907966073258,0.7290549208857917,3,0.3696724393760218
365,2670,POINT (-91.592 41.68238),-1.5985819684866462,0.7274947710674341,66,0.2266887350638518
369,4559,POINT (-92.81154 43.2851),-1.619866956846418,0.7554675120549975,3,0.1422226155095892
373,2678,POINT (-90.52718 41.55352),-1.5799973535455603,0.7252457397933141,76,0.2653352305452183
374,4162,POINT (-91.72671 41.96376),-1.6009331015220079,0.7324057785166956,69,0.02312043601842702
375,3907,POINT (-91.03058 41.44258),-1.5887833410000998,0.7233094715211517,21,0.044940303427118966
376,5417,POINT (-91.67597 41.88872),-1.600047521459546,0.7310960834459991,17,0.2531106113372536
381,5102,POINT (-91.41231 41.92012),-1.595445786353738,0.7316441168311253,5,0.5113085325051814
383,4106,POINT (-90.72048 42.51154),-1.5833710749896652,0.7419663430932701,51,0.011055613613593085
384,3774,POINT (-90.6658 42.51118),-1.582416728954675,0.7419600599079631,51,0.0871349507265069
385,5687,POINT (-91.72846 41.96377),-1.6009636447839177,0.7324059530496209,69,0.04674432151656125
386,6269,POINT (-91.67711 41.96155),-1.6000674182130186,0.7323672067402266,88,0.019413880360241498
389,6199,POINT (-93.70913 41.57224),-1.635532857679394,0.7255724654292874,112,0.2554750987252184
